Ticker,Name,Market Cap,Date
GGAL,Grupo Financiero Galicia SA,5050511265,2024-10-01
NVDA,Nvidia Corp,2.87E+12,2024-10-01
AAPL,Apple Inc.,3.44E+12,2024-10-01
AMZN,Amazon.Com Inc,1.94E+12,2024-10-01
META,"Meta Platforms, Inc. Class A Common Stock",1.46E+12,2024-10-01
CRESY,Cresud SA,528413385.6,2024-10-01
AVGO,Broadcom Inc. Common Stock,7.82E+11,2024-10-01
APP,Applovin Corporation Class A Common Stock,43669577892,2024-10-01
MU,"Micron Technology, Inc.",1.11E+11,2024-10-01
ADI,"Analog Devices, Inc.",1.11E+11,2024-10-01
INTC,Intel Corp,97022440000,2024-10-01
MELI,"Mercado Libre, Inc",1.05E+11,2024-10-01
FANG,"Diamondback Energy, Inc.",51967647357,2024-10-01
MNST,Monster Beverage Corporation,54078292027,2024-10-01
AEP,"American Electric Power Company, Inc.",54393305889,2024-10-01
PAYX,Paychex Inc,50670321000,2024-10-01
DDOG,"Datadog, Inc. Class A Common Stock",38428616305,2024-10-01
FITB,Fifth Third Bancorp,28293806588,2024-10-01
ALNY,"Alnylam Pharmaceuticals, Inc.",35440724419,2024-10-01
UAL,"United Airlines Holdings, Inc. Common Stock",18457447200,2024-10-01
GGAL,Grupo Financiero Galicia SA,4994540025,2024-10-02
NVDA,Nvidia Corp,2.92E+12,2024-10-02
AAPL,Apple Inc.,3.45E+12,2024-10-02
AMZN,Amazon.Com Inc,1.94E+12,2024-10-02
META,"Meta Platforms, Inc. Class A Common Stock",1.45E+12,2024-10-02
CRESY,Cresud SA,525441431.8,2024-10-02
AVGO,Broadcom Inc. Common Stock,7.97E+11,2024-10-02
APP,Applovin Corporation Class A Common Stock,43906894388,2024-10-02
MU,"Micron Technology, Inc.",1.11E+11,2024-10-02
ADI,"Analog Devices, Inc.",1.13E+11,2024-10-02
INTC,Intel Corp,95739640000,2024-10-02
MELI,"Mercado Libre, Inc",99910462898,2024-10-02
FANG,"Diamondback Energy, Inc.",53071286556,2024-10-02
MNST,Monster Beverage Corporation,53396941187,2024-10-02
AEP,"American Electric Power Company, Inc.",54175136691,2024-10-02
PAYX,Paychex Inc,50659245436,2024-10-02
DDOG,"Datadog, Inc. Class A Common Stock",39183837401,2024-10-02
FITB,Fifth Third Bancorp,28374916402,2024-10-02
ALNY,"Alnylam Pharmaceuticals, Inc.",34861728305,2024-10-02
UAL,"United Airlines Holdings, Inc. Common Stock",18329201976,2024-10-02
GGAL,Grupo Financiero Galicia SA,5169599010,2024-10-03
NVDA,Nvidia Corp,3.01E+12,2024-10-03
AAPL,Apple Inc.,3.43E+12,2024-10-03
AMZN,Amazon.Com Inc,1.91E+12,2024-10-03
META,"Meta Platforms, Inc. Class A Common Stock",1.47E+12,2024-10-03
CRESY,Cresud SA,533168511.7,2024-10-03
AVGO,Broadcom Inc. Common Stock,8.03E+11,2024-10-03
APP,Applovin Corporation Class A Common Stock,45207121392,2024-10-03
MU,"Micron Technology, Inc.",1.13E+11,2024-10-03
ADI,"Analog Devices, Inc.",1.12E+11,2024-10-03
